Deck,Player,Format,Event,Level,Rank,Date,LANDS,CREATURES,INSTANTS_and_SORC.,OTHER_SPELLS,SIDEBOARD,LANDS_(29),LANDS_(26),LANDS_(27),LANDS_(28)
HQ Collected Bant,Marcio Carvalho,Standard,2016 World Championship,,2,02/09/16,26.0,27.0,6.0,1.0,0.0,,,,
Temur Emerge,Paulo Vitor Damo Da Rosa,Standard,2016 World Championship,,,02/09/16,23.0,20.0,14.0,3.0,0.0,,,,
Bant Spirits,Seth Manfield,Standard,2016 World Championship,,,02/09/16,25.0,27.0,8.0,,0.0,,,,
Temur Emerge,Luis Scott-Vargas,Standard,2016 World Championship,,,02/09/16,23.0,20.0,14.0,3.0,0.0,,,,
Temur Emerge Emrakul,Ondrej Stráský,Standard,2016 World Championship,,,02/09/16,22.0,18.0,16.0,4.0,0.0,,,,
Simic Crush,Steve Rubin,Standard,2016 World Championship,,,02/09/16,24.0,8.0,26.0,2.0,0.0,,,,
Temur Emerge Emrakul,Oliver Tiu,Standard,2016 World Championship,,3-4,02/09/16,22.0,18.0,16.0,4.0,0.0,,,,
Collected Bant,Shota Yasooka,Standard,2016 World Championship,,3-4,02/09/16,26.0,25.0,9.0,,0.0,,,,
Temur Energy,Ivan Floch (Slovakia),Standard,2017 World Magic Cup,,8,03/12/17,22.0,23.0,12.0,3.0,0.0,,,,
Sultai Constrictor,Chao Lu (China),Standard,2017 World Magic Cup,,7,03/12/17,21.0,26.0,13.0,,0.0,,,,
Red Deck Wins,Yuchen Liu (China),Standard,2017 World Magic Cup,,7,03/12/17,24.0,25.0,10.0,1.0,0.0,,,,
UW Control,Piotr Gaogowski (Poland),Standard,2017 World Magic Cup,,2,03/12/17,24.0,2.0,23.0,11.0,0.0,,,,
Red Deck Wins,Radoslaw Kaczmarczyk (Poland),Standard,2017 World Magic Cup,,2,03/12/17,24.0,26.0,10.0,,0.0,,,,
Temur Energy,Grzegorz Kowalski (Poland),Standard,2017 World Magic Cup,,2,03/12/17,22.0,22.0,12.0,4.0,0.0,,,,
UB Control,Sam Rolph (Wales),Standard,2017 World Magic Cup,,5,03/12/17,25.0,5.0,26.0,4.0,0.0,,,,
Red Deck Wins,Philip Griffiths (Wales),Standard,2017 World Magic Cup,,5,03/12/17,25.0,19.0,11.0,5.0,0.0,,,,
Temur Energy,Aaron Boyhan (Wales),Standard,2017 World Magic Cup,,5,03/12/17,22.0,20.0,15.0,3.0,0.0,,,,
God-Pharaoh's Gift,Kenta Harane (Japan),Standard,2017 World Magic Cup,,1,03/12/17,23.0,16.0,13.0,8.0,0.0,,,,
Temur Energy,Yuuya Watanabe (Japan),Standard,2017 World Magic Cup,,1,03/12/17,23.0,20.0,13.0,4.0,0.0,,,,
God-Pharaoh's Gift,Tan Gao (China),Standard,2017 World Magic Cup,,7,03/12/17,23.0,17.0,12.0,8.0,0.0,,,,
WU God-Pharaoh's Gift,Adrian Schrenk (Austria),Standard,2017 World Magic Cup,,6,03/12/17,23.0,14.0,15.0,8.0,0.0,,,,
Mardu Vehicle,Ondrej Kedrovic (Slovakia),Standard,2017 World Magic Cup,,8,03/12/17,24.0,22.0,8.0,6.0,0.0,,,,
UB Control,Mattia Rizzi (Italy),Standard,2017 World Magic Cup,,4,03/12/17,26.0,5.0,27.0,2.0,0.0,,,,
Red Deck Wins,Adriano Moscato (Italy),Standard,2017 World Magic Cup,,4,03/12/17,24.0,25.0,9.0,2.0,0.0,,,,
Pummeler,Andrea Mengucci (Italy),Standard,2017 World Magic Cup,,4,03/12/17,20.0,22.0,14.0,4.0,0.0,,,,
4c Energy,Marc Tobiasch (Germany),Standard,2017 World Magic Cup,,3,03/12/17,22.0,17.0,21.0,,0.0,,,,
Red Deck Wins,Moritz Templin (Germany),Standard,2017 World Magic Cup,,3,03/12/17,24.0,25.0,11.0,,0.0,,,,
Mardu Vehicle,Phillip Krieger (Germany),Standard,2017 World Magic Cup,,3,03/12/17,25.0,18.0,6.0,11.0,0.0,,,,
Temur Energy,Elias Klocker (Austria),Standard,2017 World Magic Cup,,6,03/12/17,22.0,18.0,20.0,,0.0,,,,
Red Deck Wins,Oliver Polak-rottmann (Austria),Standard,2017 World Magic Cup,,6,03/12/17,24.0,24.0,11.0,1.0,0.0,,,,
Red Deck Wins,Shota Yasooka (Japan),Standard,2017 World Magic Cup,,1,03/12/17,24.0,26.0,10.0,,0.0,,,,
God-Pharaoh's Gift,Peter Snoha (Slovakia),Standard,2017 World Magic Cup,,8,03/12/17,23.0,16.0,14.0,7.0,0.0,,,,
Temur Energy,William Jensen,Standard,Worlds 2017,,1,07/10/17,22.0,23.0,15.0,,0.0,,,,
Red Deck Wins,Javier Dominguez,Standard,Worlds 2017,,2,07/10/17,24.0,23.0,12.0,1.0,0.0,,,,
UB Control,Kelvin Chew,Standard,Worlds 2017,,3-4,07/10/17,26.0,5.0,25.0,4.0,0.0,,,,
UB Control,Josh Utter-leyton,Standard,Worlds 2017,,3-4,07/10/17,26.0,5.0,26.0,3.0,0.0,,,,
Red Deck Wins,Eric Froehlich,Standard,Worlds 2017,,Other,07/10/17,24.0,25.0,11.0,,0.0,,,,
4c Energy,Martin Müller,Standard,Worlds 2017,,Other,07/10/17,23.0,23.0,12.0,2.0,0.0,,,,
Temur Energy,Sebastian Pozzo,Standard,Worlds 2017,,Other,07/10/17,22.0,24.0,12.0,2.0,0.0,,,,
4c Energy,Seth Manfield,Standard,Worlds 2017,,Other,07/10/17,23.0,23.0,12.0,2.0,0.0,,,,
Temur Energy,Reid Duke,Standard,Worlds 2017,,Other,07/10/17,22.0,22.0,16.0,,0.0,,,,
UB Control,Samuel Black,Standard,Worlds 2017,,Other,07/10/17,26.0,5.0,26.0,3.0,0.0,,,,
Temur Energy,Owen Turtenwald,Standard,Worlds 2017,,Other,07/10/17,22.0,23.0,15.0,,0.0,,,,
Temur Energy,Yuuya Watanabe,Standard,Worlds 2017,,Other,07/10/17,22.0,23.0,12.0,3.0,0.0,,,,
Red Deck Wins,Shi Tian Lee,Standard,Worlds 2017,,Other,07/10/17,24.0,23.0,12.0,1.0,0.0,,,,
Red Deck Wins,Martin Juza,Standard,Worlds 2017,,Other,07/10/17,23.0,29.0,8.0,,0.0,,,,
UB Control,Gerry Thompson,Standard,Worlds 2017,,Other,07/10/17,26.0,5.0,26.0,3.0,0.0,,,,
Golgari Aggro,Jean-Emmanuel Depraz (France - A),Standard,2018 World Magic Cup,,1,16/12/18,24.0,23.0,9.0,4.0,0.0,,,,
Jeskai Control,Arnaud Hocquemiller (France - B),Standard,2018 World Magic Cup,,1,16/12/18,26.0,,26.0,8.0,0.0,,,,
Selesnya Tokens,Timothée Jammot (France - C),Standard,2018 World Magic Cup,,1,16/12/18,21.0,14.0,12.0,13.0,0.0,,,,
Boros Aggro,Yuval Zuckerman (Israel - A),Standard,2018 World Magic Cup,,2,16/12/18,21.0,23.0,4.0,12.0,0.0,,,,
Izzet Drakes,Shahar Shenhar (Israel - B),Standard,2018 World Magic Cup,,2,16/12/18,21.0,10.0,27.0,2.0,0.0,,,,
Golgari Midrange,Amit Etgar (Israel - C),Standard,2018 World Magic Cup,,2,16/12/18,23.0,24.0,8.0,5.0,0.0,,,,
Boros Angels,Kon Fai Wu (Hong Kong - A),Standard,2018 World Magic Cup,,3,16/12/18,25.0,23.0,6.0,6.0,0.0,,,,
Izzet Phoenix,Shi Tian Lee (Hong Kong - B),Standard,2018 World Magic Cup,,3,16/12/18,20.0,12.0,28.0,,0.0,,,,
Golgari Midrange,Alexander Dadyko (Hong Kong - C),Standard,2018 World Magic Cup,,3,16/12/18,23.0,25.0,9.0,3.0,0.0,,,,
Selesnya Aggro,Ken Yukuhiro (Japan - A),Standard,2018 World Magic Cup,,5,16/12/18,22.0,22.0,3.0,13.0,0.0,,,,
Selesnya Tokens,Tian Fa Mun (Italy - A),Standard,2018 World Magic Cup,,4,16/12/18,21.0,14.0,12.0,13.0,0.0,,,,
Golgari Midrange,Andrea Mengucci (Italy - B),Standard,2018 World Magic Cup,,4,16/12/18,24.0,24.0,7.0,5.0,0.0,,,,
Izzet Drakes,Mattia Basilico (Italy - C),Standard,2018 World Magic Cup,,4,16/12/18,21.0,10.0,27.0,2.0,0.0,,,,
Golgari Midrange,Naoya Nanba (Japan - B),Standard,2018 World Magic Cup,,5,16/12/18,24.0,24.0,9.0,3.0,0.0,,,,
Izzet Drakes,Masahide Moriyama (Japan - C),Standard,2018 World Magic Cup,,5,16/12/18,21.0,10.0,27.0,2.0,0.0,,,,
Golgari Midrange,Yuchen Liu (China - A),Standard,2018 World Magic Cup,,6,16/12/18,23.0,26.0,8.0,3.0,0.0,,,,
Jeskai Control,Long Song (China - B),Standard,2018 World Magic Cup,,6,16/12/18,25.0,5.0,24.0,6.0,0.0,,,,
Boros Aggro,Benaya Lie (Australia - A),Standard,2018 World Magic Cup,,7,16/12/18,23.0,20.0,6.0,11.0,0.0,,,,
Big Red,Ming Xu (China - C),Standard,2018 World Magic Cup,,6,16/12/18,25.0,20.0,11.0,4.0,0.0,,,,
Golgari Aggro,David Mines (Australia - B),Standard,2018 World Magic Cup,,7,16/12/18,24.0,25.0,8.0,3.0,0.0,,,,
Fog,Matthew Garnham (Australia - C),Standard,2018 World Magic Cup,,7,16/12/18,25.0,,22.0,13.0,0.0,,,,
Selesnya Tokens,Richard Hornansky (Slovakia  - A),Standard,2018 World Magic Cup,,8,16/12/18,21.0,15.0,12.0,12.0,0.0,,,,
Jeskai Control,Ivan Floch (Slovakia  - B),Standard,2018 World Magic Cup,,8,16/12/18,26.0,4.0,21.0,9.0,0.0,,,,
Golgari Midrange,Milan Niznansky (Slovakia  - C),Standard,2018 World Magic Cup,,8,16/12/18,23.0,25.0,8.0,4.0,0.0,,,,
Rakdos Aggro,Elias Watsfeldt,Standard,Worlds 2018 (Las Vegas),,,23/09/18,23.0,26.0,8.0,3.0,0.0,,,,
Rakdos Aggro,Reid Duke,Standard,Worlds 2018 (Las Vegas),,,23/09/18,25.0,24.0,6.0,5.0,0.0,,,,
Rakdos Aggro,Márcio Carvalho,Standard,Worlds 2018 (Las Vegas),,,23/09/18,25.0,22.0,8.0,5.0,0.0,,,,
Rakdos Aggro,Ben Hull,Standard,Worlds 2018 (Las Vegas),,,23/09/18,25.0,23.0,7.0,5.0,0.0,,,,
Red Deck Wins,Benjamin Stark,Standard,Worlds 2018 (Las Vegas),,3-4,23/09/18,22.0,27.0,11.0,,0.0,,,,
UW God-Pharaoh's Gift,Shahar Shenhar,Standard,Worlds 2018 (Las Vegas),,3-4,23/09/18,25.0,16.0,13.0,6.0,0.0,,,,
Rakdos Aggro,Javier Dominguez,Standard,Worlds 2018 (Las Vegas),,1,23/09/18,25.0,22.0,8.0,5.0,0.0,,,,
Rakdos Aggro,Grzegorz Kowalski,Standard,Worlds 2018 (Las Vegas),,2,23/09/18,25.0,21.0,9.0,5.0,0.0,,,,
Red Deck Wins,Andrea Mengucci,Standard,World Championship XXVI Honolulu,,14,12/02/20,22.0,31.0,4.0,3.0,0.0,,,,
UW Control,Thoralf Severin,Standard,World Championship XXVI Honolulu,,12,12/02/20,25.0,4.0,11.0,20.0,0.0,,,,
Temur Reclamation,Chris Kvartek,Standard,World Championship XXVI Honolulu,,10,12/02/20,27.0,9.0,12.0,12.0,0.0,,,,
Jund Sacrifice,Piotr Glogowski,Standard,World Championship XXVI Honolulu,,11,12/02/20,25.0,22.0,4.0,9.0,0.0,,,,
UW Control,Ondrej Strasky,Standard,World Championship XXVI Honolulu,,13,12/02/20,25.0,2.0,15.0,18.0,0.0,,,,
UW Control,Paulo Vitor Damo Da Rosa,Standard,World Championship XXVI Honolulu,,1,12/02/20,25.0,2.0,15.0,18.0,0.0,,,,
Fires of Invention,Javier Dominguez,Standard,World Championship XXVI Honolulu,,16,12/02/20,27.0,19.0,6.0,8.0,0.0,,,,
Red Deck Wins,Sebastian Pozzo,Standard,World Championship XXVI Honolulu,,6,12/02/20,22.0,28.0,6.0,4.0,0.0,,,,
Red Deck Wins,Seth Manfield,Standard,World Championship XXVI Honolulu,,3,12/02/20,22.0,31.0,4.0,3.0,0.0,,,,
Red Deck Wins,Eli Loveman,Standard,World Championship XXVI Honolulu,,5,12/02/20,21.0,28.0,7.0,4.0,0.0,,,,
Fires of Invention,Marcio Carvalho,Standard,World Championship XXVI Honolulu,,2,12/02/20,27.0,19.0,6.0,8.0,0.0,,,,
Fires of Invention,Gabriel Nassif,Standard,World Championship XXVI Honolulu,,4,12/02/20,28.0,18.0,4.0,10.0,0.0,,,,
Fires of Invention,Raphael Levy,Standard,World Championship XXVI Honolulu,,9,12/02/20,28.0,18.0,4.0,10.0,0.0,,,,
Temur Reclamation,Matias Leveratto,Standard,World Championship XXVI Honolulu,,15,12/02/20,27.0,9.0,17.0,7.0,0.0,,,,
Temur Reclamation,Jean-emmanuel Depraz,Standard,World Championship XXVI Honolulu,,7,12/02/20,27.0,7.0,22.0,4.0,0.0,,,,
Temur Reclamation,Autumn Burchett,Standard,World Championship XXVI Honolulu,,8,12/02/20,27.0,9.0,18.0,6.0,0.0,,,,
Izzet Control,Stanislav Cifka,Standard,Magic World Championship XXVII (2021),,12,05/10/21,,,37.0,,0.0,23.0,,,
Mono Green Aggro,Paulo Vitor Damo Da Rosa,Standard,Magic World Championship XXVII (2021),,10,05/10/21,,19.0,8.0,10.0,0.0,23.0,,,
Gruul Aggro,Jean-Emmanuel Depraz,Standard,Magic World Championship XXVII (2021),,2,05/10/21,,21.0,9.0,8.0,0.0,,22.0,,
Izzet Control,Arne Huschenbeth,Standard,Magic World Championship XXVII (2021),,16,05/10/21,,,37.0,,0.0,23.0,,,
Weenie White ,Yoshihiko Ikawa,Standard,Magic World Championship XXVII (2021),,8,05/10/21,24.0,29.0,3.0,4.0,0.0,,,,
Grixis Control,Eli Kassis,Standard,Magic World Championship XXVII (2021),,7,05/10/21,,4.0,30.0,3.0,0.0,,,23.0,
Mono Green Aggro,Seth Manfield,Standard,Magic World Championship XXVII (2021),,15,05/10/21,,19.0,6.0,12.0,0.0,23.0,,,
Grixis Control,Jan Merkel,Standard,Magic World Championship XXVII (2021),,3,05/10/21,,4.0,30.0,3.0,0.0,,,23.0,
Azorius Aggro,Noriyuki Mori,Standard,Magic World Championship XXVII (2021),,11,05/10/21,,25.0,11.0,,0.0,,24.0,,
Grixis Control,Gabriel Nassif,Standard,Magic World Championship XXVII (2021),,13,05/10/21,,4.0,30.0,3.0,0.0,,,23.0,
Mono Green Aggro,Sam Pardee,Standard,Magic World Championship XXVII (2021),,6,05/10/21,,19.0,8.0,10.0,0.0,23.0,,,
Izzet Control,Keisuke Sato,Standard,Magic World Championship XXVII (2021),,14,05/10/21,,4.0,34.0,,0.0,,,22.0,
Weenie White ,Rei Sato,Standard,Magic World Championship XXVII (2021),,9,05/10/21,24.0,29.0,3.0,4.0,0.0,,,,
Grixis Control,Matt Sperling,Standard,Magic World Championship XXVII (2021),,5,05/10/21,,4.0,30.0,3.0,0.0,,,23.0,
Izzet Control,Ondřej Stráský,Standard,Magic World Championship XXVII (2021),,4,05/10/21,,,37.0,,0.0,23.0,,,
Izzet Control,Yuta Takahashi,Standard,Magic World Championship XXVII (2021),,1,05/10/21,,8.0,32.0,,0.0,,,,20.0
Esper Raffine,Yo Akaike,Standard,Magic World Championship XXVIII,,14,28/10/22,26.0,17.0,9.0,8.0,0.0,,,,
Bant Aggro,Drew Baker,Standard,Magic World Championship XXVIII,,27,28/10/22,24.0,14.0,10.0,12.0,0.0,,,,
Esper Raffine,Jim Davis,Standard,Magic World Championship XXVIII,,5,28/10/22,26.0,20.0,7.0,7.0,0.0,,,,
Mono Blue Tempo,Jean-emmanuel Depraz,Standard,Magic World Championship XXVIII,,20,28/10/22,22.0,8.0,30.0,,0.0,,,,
Jund,Reid Duke,Standard,Magic World Championship XXVIII,,13,28/10/22,27.0,16.0,9.0,8.0,0.0,,,,
Esper Raffine,Zach Dunn,Standard,Magic World Championship XXVIII,,19,28/10/22,27.0,20.0,6.0,7.0,0.0,,,,
Esper Raffine,Jonny Guttman,Standard,Magic World Championship XXVIII,,31,28/10/22,27.0,18.0,8.0,7.0,0.0,,,,
Esper Raffine,Lukas Honnay,Standard,Magic World Championship XXVIII,,11,28/10/22,27.0,20.0,6.0,7.0,0.0,,,,
Esper Raffine,Yuuki Ichikawa,Standard,Magic World Championship XXVIII,,26,28/10/22,26.0,17.0,8.0,9.0,0.0,,,,
Esper Raffine,David Inglis,Standard,Magic World Championship XXVIII,,7,28/10/22,27.0,18.0,8.0,7.0,0.0,,,,
Esper Raffine,Eli Kassis,Standard,Magic World Championship XXVIII,,2,28/10/22,26.0,21.0,7.0,6.0,0.0,,,,
Esper Raffine,Zachary Kiihne,Standard,Magic World Championship XXVIII,,17,28/10/22,27.0,18.0,8.0,7.0,0.0,,,,
Esper Raffine,Yuma Koizumi,Standard,Magic World Championship XXVIII,,22,28/10/22,26.0,17.0,8.0,9.0,0.0,,,,
Esper Raffine,Matti Kuisma,Standard,Magic World Championship XXVIII,,24,28/10/22,26.0,13.0,14.0,7.0,0.0,,,,
Esper Raffine,Riku Kumagai,Standard,Magic World Championship XXVIII,,9,28/10/22,26.0,17.0,8.0,9.0,0.0,,,,
Jund,Jan-moritz Merkel,Standard,Magic World Championship XXVIII,,25,28/10/22,27.0,16.0,9.0,8.0,0.0,,,,
Esper Raffine,Yudai Miyano,Standard,Magic World Championship XXVIII,,28,28/10/22,26.0,15.0,9.0,10.0,0.0,,,,
Esper Raffine,Simon Nielsen,Standard,Magic World Championship XXVIII,,15,28/10/22,26.0,14.0,13.0,7.0,0.0,,,,
Esper Raffine,Logan Nettles,Standard,Magic World Championship XXVIII,,16,28/10/22,26.0,15.0,10.0,9.0,0.0,,,,
UW Control,Greg Orange,Standard,Magic World Championship XXVIII,,10,28/10/22,27.0,1.0,28.0,4.0,0.0,,,,
Esper Raffine,Toru Saito,Standard,Magic World Championship XXVIII,,21,28/10/22,26.0,17.0,8.0,9.0,0.0,,,,
Esper Raffine,Karl Sarap,Standard,Magic World Championship XXVIII,,4,28/10/22,26.0,13.0,14.0,7.0,0.0,,,,
Esper Raffine,Mike Sigrist,Standard,Magic World Championship XXVIII,,18,28/10/22,26.0,20.0,7.0,7.0,0.0,,,,
Grixis Midrange,Nathan Steuer,Standard,Magic World Championship XXVIII,,1,28/10/22,26.0,11.0,16.0,7.0,0.0,,,,
Esper Raffine,Yuta Takahashi,Standard,Magic World Championship XXVIII,,6,28/10/22,26.0,16.0,9.0,9.0,0.0,,,,
Izzet Control,Julian Wellman,Standard,Magic World Championship XXVIII,,8,28/10/22,23.0,7.0,25.0,5.0,0.0,,,,
Esper Raffine,Tristan Wylde-larue,Standard,Magic World Championship XXVIII,,12,28/10/22,27.0,18.0,8.0,7.0,0.0,,,,
Esper Raffine,Shota Yasooka,Standard,Magic World Championship XXVIII,,29,28/10/22,25.0,11.0,14.0,10.0,0.0,,,,
Jund,Hisamichi Yoshigoe,Standard,Magic World Championship XXVIII,,32,28/10/22,25.0,14.0,14.0,7.0,0.0,,,,
Mardu Midrange,Yimin Zhi,Standard,Magic World Championship XXVIII,,23,28/10/22,27.0,13.0,10.0,10.0,0.0,,,,
Esper Raffine,Jakub Tóth,Standard,Magic World Championship XXVIII,,3,28/10/22,26.0,20.0,7.0,7.0,0.0,,,,
